,Source,Location,Latitude,Longitude,Speed_Max,Date,Description,Speed,Tempo,Distance,Duration,Start,Ascent,Descent,Elevation_Gain,Elevation_Max,Calories,Km_1,Km_2,Km_3,Km_4,Km_5,Km_6,Km_7,Km_8,Km_9,Km_10,Km_11,Km_12,Km_13,Km_14,Km_15,Km_16,Km_17,Km_18,Km_19
48,Nike+ 2.10.6  ,indoor,51.32958599999999,12.346223000000002,3.68,2012-08-02,Running 1.88 km in 12:20 min (6:33 min/km),2.547556485491379,06:32,1.8847739999999997,12.3306,08:08:40,75.20182699999998,100.55395699999997,62.0,129.0,147.0,"Duration=6.567, Speed=2.54","Duration=5.683, Speed=2.65",,,,,,,,,,,,,,,,,
49,Nike+ 2.10.6  ,"Leipzig, Germany",51.339560000000006,12.347423000000001,4.06,2012-08-02,Running 3.29 km in 20:01 min (6:05 min/km),2.74241506749705,06:04,3.292464,20.009516666666666,08:32:55,338.65580799999987,302.129998,318.0,155.0,259.0,"Duration=6.017, Speed=2.77","Duration=6.017, Speed=2.77","Duration=5.5, Speed=3.03","Duration=2.4, Speed=2.6",,,,,,,,,,,,,,,
50,Nike+ 2.10.6  ,indoor,51.337303,12.386206999999999,6.5,2012-08-06,Running 5.60 km in 32:08 min (5:45 min/km),2.901675354226343,05:44,5.5956719999999995,32.14046666666667,08:35:53,299.5191809999999,283.5188459999999,273.0,136.0,443.0,"Duration=6.45, Speed=2.58","Duration=6.683, Speed=2.49","Duration=6.533, Speed=2.55","Duration=6.767, Speed=2.46","Duration=3.117, Speed=5.35","Duration=2.5, Speed=4.21",,,,,,,,,,,,,
51,Nike+ 2.10.6  ,"Leipzig, Germany",51.33399200000001,12.362898,6.909999999999999,2012-08-13,Running 11.04 km in 4:05:42 hr (22:16 min/km),0.7486429578296009,22:15,11.03621,245.69366666666667,17:13:33,298.53881499999994,283.77880899999997,237.0,153.0,946.0,"Duration=22.45, Speed=0.74","Duration=20.75, Speed=0.8","Duration=21.033, Speed=0.79","Duration=20.483, Speed=0.81","Duration=24.683, Speed=0.68","Duration=19.9, Speed=0.84","Duration=19.35, Speed=0.86","Duration=18.517, Speed=0.9","Duration=20.75, Speed=0.8","Duration=20.483, Speed=0.81","Duration=37.017, Speed=0.36",,,,,,,,
52,Nike+ 2.10.6  ,"Leipzig, Germany",51.33858,12.385096,4.389999999999998,2012-08-26,Running 3.05 km in 31:02 min (10:10 min/km),1.638582417139865,10:10,3.051573,31.03875,12:01:25,60.47604299999993,93.32779299999994,43.0,145.0,244.0,"Duration=10.1, Speed=1.65","Duration=9.283, Speed=1.8","Duration=9.5, Speed=1.75","Duration=2.033, Speed=0.79",,,,,,,,,,,,,,,
53,Nike+ 2.10.6  ,"Leipzig, Germany",51.35807,12.305783,5.830000000000001,2012-08-28,Running 6.01 km in 33:50 min (5:38 min/km),2.959895644240654,05:37,6.008525999999999,33.83298333333333,17:15:01,328.6807814999998,352.15421749999985,288.0,128.0,493.0,"Duration=5.867, Speed=2.84","Duration=5.8, Speed=2.87","Duration=5.883, Speed=2.83","Duration=5.8, Speed=2.87","Duration=4.133, Speed=4.03","Duration=6.283, Speed=2.62",,,,,,,,,,,,,
54,Nike+ 2.10.6  ,indoor,51.33714,12.386331000000002,3.93,2012-11-19,Running 11.01 km in 1:05:09 hr (5:55 min/km),2.817035788026185,05:54,11.0131,65.15773333333333,08:43:56,259.31613500000014,276.1504550000001,221.0,166.0,899.0,"Duration=5.983, Speed=2.79","Duration=5.85, Speed=2.85","Duration=5.783, Speed=2.88","Duration=5.383, Speed=3.1","Duration=5.783, Speed=2.88","Duration=5.7, Speed=2.92","Duration=6.05, Speed=2.75","Duration=5.717, Speed=2.92","Duration=6.3, Speed=2.65","Duration=6.05, Speed=2.75","Duration=5.317, Speed=3.13","Duration=1.183, Speed=2.96",,,,,,,
55,Nike+ 2.10.6  ,"Leipzig, Germany",51.336967,12.389610000000001,11.59,2012-12-03,Running 11.11 km in 1:05:56 hr (5:56 min/km),2.80704392812405,05:56,11.105710000000002,65.93953333333333,08:27:55,263.9601280000002,534.6765680000004,210.0,390.0,906.0,"Duration=4.5, Speed=3.7","Duration=5.75, Speed=2.9","Duration=5.883, Speed=2.83","Duration=5.883, Speed=2.83","Duration=5.683, Speed=2.93","Duration=6.217, Speed=2.68","Duration=6.2, Speed=2.69","Duration=5.883, Speed=2.83","Duration=5.817, Speed=2.87","Duration=6.4, Speed=2.6","Duration=5.95, Speed=2.8","Duration=1.7, Speed=2.48",,,,,,,
56,Nike+ 2.10.6  ,"Leipzig, Germany",51.33756999999999,12.387122,6.15,2012-12-06,Running 2.71 km in 15:34 min (5:45 min/km),2.898649632379705,05:44,2.7076750000000005,15.5686,08:04:16,105.97345500000006,157.840685,92.0,195.0,221.0,"Duration=4.967, Speed=3.36","Duration=5.967, Speed=2.79","Duration=4.567, Speed=2.93",,,,,,,,,,,,,,,,
57,Nike+ 2.10.6  ,"Leipzig, Germany",51.33163499999999,12.354054000000001,3.42,2012-12-06,Running 2.86 km in 17:36 min (6:09 min/km),2.712943409162795,06:08,2.864776,17.59943333333333,08:23:43,85.51603100000013,76.81568100000014,74.0,141.0,234.0,"Duration=6.4, Speed=2.6","Duration=6.017, Speed=2.77","Duration=5.117, Speed=2.93",,,,,,,,,,,,,,,,
58,Nike+ 2.10.6  ,indoor,31.956212999999998,35.871809999999996,4.06,2012-12-21,Running 7.00 km in 43:20 min (6:11 min/km),2.693068964204244,06:11,7.001982,43.33335,15:09:30,182.15870999999993,193.07106999999985,155.0,973.0,565.0,"Duration=5.917, Speed=2.82","Duration=6.1, Speed=2.73","Duration=6.367, Speed=2.62","Duration=5.9, Speed=2.82","Duration=6.25, Speed=2.67","Duration=5.9, Speed=2.82","Duration=6.167, Speed=2.7","Duration=0.667, Speed=2.55",,,,,,,,,,,
59,Nike+ 2.10.6  ,indoor,31.956332999999994,35.87212000000001,3.83,2012-12-24,Running 2.80 km in 16:39 min (5:57 min/km),2.804393057336124,05:56,2.802186,16.65355,07:34:14,60.94948999999997,81.63234999999986,53.0,974.0,227.0,"Duration=5.883, Speed=2.83","Duration=5.95, Speed=2.8","Duration=4.75, Speed=2.8",,,,,,,,,,,,,,,,
60,Nike+ 2.10.6  ,indoor,31.942483999999997,35.879009999999994,3.6,2012-12-24,Running 4.19 km in 25:44 min (6:09 min/km),2.713273032676495,06:08,4.188504,25.728483333333333,08:04:34,127.0225999999983,111.91511999999807,117.0,962.0,338.0,"Duration=6.283, Speed=2.65","Duration=5.767, Speed=2.89","Duration=5.95, Speed=2.8","Duration=6.033, Speed=2.76","Duration=1.633, Speed=2.58",,,,,,,,,,,,,,
61,Nike+ 2.10.6  ,"Leipzig, Germany",51.337604999999996,12.385880000000002,3.759999999999999,2013-01-20,Running 4.03 km in 20:51 min (5:11 min/km),3.21664696720139,05:10,4.025,20.855050000000002,10:52:55,56.637009999999876,66.81573999999986,48.0,139.0,276.0,"Duration=6.15, Speed=2.71","Duration=6.217, Speed=2.68","Duration=6.217, Speed=2.68","Duration=2.217, Speed=2.74",,,,,,,,,,,,,,,
62,Nike+ 2.10.6  ,"Leipzig, Germany",51.329505999999995,12.346262,3.88,2013-01-20,Running 4.47 km in 28:27 min (6:22 min/km),2.618782692033937,06:21,4.470338,28.450483333333334,11:21:46,146.97197699999998,166.14354700000018,125.0,109.0,361.0,"Duration=5.783, Speed=2.88","Duration=6.533, Speed=2.55","Duration=2.867, Speed=5.81","Duration=3.733, Speed=4.46","Duration=5.8, Speed=2.87","Duration=3.667, Speed=2.46",,,,,,,,,,,,,
63,Nike+ 2.10.6  ,"Leipzig, Germany",51.337837,12.385768,4.289999999999999,2013-01-23,Running 11.21 km in 1:10:30 hr (6:18 min/km),2.648832846945687,06:24,11.0,70.50275,08:43:22,224.2127720000002,246.21785200000022,179.0,150.0,906.0,"Duration=6.267, Speed=2.66","Duration=6.217, Speed=2.68","Duration=6.617, Speed=2.52","Duration=6.0, Speed=2.78","Duration=6.35, Speed=2.62","Duration=6.35, Speed=2.62","Duration=6.417, Speed=2.6","Duration=5.917, Speed=2.82","Duration=6.067, Speed=2.75","Duration=6.217, Speed=2.68","Duration=6.4, Speed=2.6","Duration=1.617, Speed=2.73",,,,,,,
64,Nike+ 2.10.6  ,"Leipzig, Germany",51.337520000000005,12.385134,4.01,2013-01-30,Running 10.82 km in 1:04:24 hr (5:57 min/km),2.800992802672317,05:57,10.82363,64.40353333333333,08:45:18,272.76914599999975,213.98506100000012,235.0,153.0,882.0,"Duration=5.967, Speed=2.79","Duration=6.3, Speed=2.65","Duration=5.717, Speed=2.92","Duration=5.433, Speed=3.07","Duration=5.767, Speed=2.89","Duration=5.833, Speed=2.86","Duration=5.917, Speed=2.82","Duration=5.9, Speed=2.82","Duration=5.567, Speed=2.99","Duration=5.767, Speed=2.89","Duration=6.167, Speed=2.58",,,,,,,,
65,Nike+ 2.10.6  ,"Leipzig, Germany",51.337009999999985,12.386841,5.949999999999999,2013-02-03,Running 7.46 km in 41:57 min (5:37 min/km),2.966319155801322,05:37,7.464931999999999,41.94273333333333,08:54:58,200.41012700000013,224.89776699999982,171.0,153.0,613.0,"Duration=4.983, Speed=3.34","Duration=5.567, Speed=2.99","Duration=5.633, Speed=2.96","Duration=5.7, Speed=2.92","Duration=5.633, Speed=2.96","Duration=5.683, Speed=2.93","Duration=5.833, Speed=2.86","Duration=2.833, Speed=2.98",,,,,,,,,,,
66,Nike+ 2.10.6  ,"Leipzig, Germany",51.337455999999996,12.386026999999999,4.0,2013-02-04,Running 11.30 km in 1:06:48 hr (5:55 min/km),2.820442004801612,06:04,11.0,66.80395,09:02:22,229.08231999999992,220.22775999999988,190.0,134.0,911.0,"Duration=5.817, Speed=2.87","Duration=5.833, Speed=2.86","Duration=5.75, Speed=2.9","Duration=5.95, Speed=2.8","Duration=5.817, Speed=2.87","Duration=5.833, Speed=2.86","Duration=5.95, Speed=2.8","Duration=6.283, Speed=2.65","Duration=5.883, Speed=2.83","Duration=6.15, Speed=2.71","Duration=6.217, Speed=2.68","Duration=1.25, Speed=3.52",,,,,,,
67,Nike+ 2.10.6  ,indoor,51.337955,12.384651999999999,3.47,2013-02-11,Running 7.13 km in 44:53 min (6:18 min/km),2.646488412779508,06:17,7.127819000000001,44.888533333333335,09:37:26,179.27739,185.35912999999988,143.0,131.0,578.0,"Duration=6.35, Speed=2.62","Duration=5.933, Speed=2.81","Duration=6.483, Speed=2.57","Duration=6.2, Speed=2.69","Duration=6.35, Speed=2.62","Duration=6.283, Speed=2.65","Duration=6.333, Speed=2.63","Duration=0.883, Speed=2.98",,,,,,,,,,,
68,Nike+ 2.10.6  ,indoor,51.336124,12.373412,3.59,2013-02-25,Running 8.88 km in 57 min (6:25 min/km),2.595389710559215,07:07,8.0,56.99208333333333,09:12:19,177.471374,154.54349400000027,150.0,127.0,696.0,"Duration=8.033, Speed=2.07","Duration=7.467, Speed=2.23","Duration=7.15, Speed=2.33","Duration=7.233, Speed=2.3","Duration=7.467, Speed=2.23","Duration=7.467, Speed=2.23","Duration=7.133, Speed=2.34","Duration=4.967, Speed=2.27",,,,,,,,,,,
69,Nike+ 2.10.6  ,"Leipzig, Germany",51.337273,12.385836000000001,3.640000000000001,2013-03-04,Running 10.85 km in 1:02:19 hr (5:45 min/km),2.900144378787469,06:13,10.0,62.32448333333333,07:51:44,363.95489199999975,303.4015380000001,331.0,173.0,882.0,"Duration=5.733, Speed=2.91","Duration=5.733, Speed=2.91","Duration=5.6, Speed=2.98","Duration=5.733, Speed=2.91","Duration=5.917, Speed=2.82","Duration=5.6, Speed=2.98","Duration=5.783, Speed=2.88","Duration=5.6, Speed=2.98","Duration=5.617, Speed=2.97","Duration=5.783, Speed=2.88","Duration=5.167, Speed=2.9",,,,,,,,
70,Nike+ 2.10.6  ,"Leipzig, Germany",51.33717299999999,12.386583999999997,3.77,2013-03-20,Running 11.30 km in 1:07:34 hr (5:59 min/km),2.788839805637231,06:08,11.0,67.56095,07:01:34,211.4936009999998,199.08503099999976,166.0,139.0,894.0,"Duration=6.167, Speed=2.7","Duration=6.217, Speed=2.68","Duration=6.1, Speed=2.73","Duration=6.017, Speed=2.77","Duration=6.233, Speed=2.67","Duration=5.967, Speed=2.79","Duration=5.95, Speed=2.8","Duration=5.967, Speed=2.79","Duration=5.767, Speed=2.89","Duration=6.217, Speed=2.68","Duration=5.833, Speed=2.86","Duration=1.067, Speed=2.5",,,,,,,
71,Nike+ 2.10.6  ,indoor,51.358985999999994,12.308250000000001,3.5,2013-03-24,Running 5.28 km in 29:36 min (5:37 min/km),2.970823701659792,05:36,5.275663000000001,29.597083333333334,11:08:49,316.6752819999998,211.063062,279.0,106.0,435.0,"Duration=5.6, Speed=2.98","Duration=5.65, Speed=2.95","Duration=5.367, Speed=3.11","Duration=5.283, Speed=3.15","Duration=5.35, Speed=3.12","Duration=2.283, Speed=2.91",,,,,,,,,,,,,
72,Nike+ 2.10.6  ,"Leipzig, Germany",51.33818,12.384948,5.88,2013-03-26,Running 11.22 km in 1:05:21 hr (5:49 min/km),2.862642628459334,05:56,11.0,65.35336666666667,06:46:17,239.58492999999984,220.16178999999957,186.0,145.0,901.0,"Duration=4.983, Speed=3.34","Duration=5.917, Speed=2.82","Duration=5.85, Speed=2.85","Duration=6.05, Speed=2.75","Duration=5.983, Speed=2.79","Duration=5.917, Speed=2.82","Duration=5.917, Speed=2.82","Duration=5.933, Speed=2.81","Duration=6.05, Speed=2.75","Duration=5.783, Speed=2.88","Duration=6.5, Speed=2.56","Duration=0.4, Speed=2.64",,,,,,,
73,Nike+ 2.10.6  ,indoor,51.33699,12.386228,4.19,2013-03-30,Running 7.20 km in 42:38 min (5:55 min/km),2.81628914174481,05:55,7.2049970000000005,42.63883333333333,13:58:23,212.23347999999982,200.17673999999977,180.0,133.0,585.0,"Duration=5.85, Speed=2.85","Duration=5.8, Speed=2.87","Duration=5.783, Speed=2.88","Duration=5.917, Speed=2.82","Duration=6.117, Speed=2.72","Duration=5.6, Speed=2.98","Duration=6.1, Speed=2.73","Duration=1.4, Speed=3.18",,,,,,,,,,,
74,Nike+ 2.10.6  ,indoor,51.337387,12.386093,3.79,2013-04-08,Running 7.13 km in 41:23 min (5:48 min/km),2.869985080109819,05:48,7.125001999999998,41.376533333333334,06:53:09,176.14986900000008,168.1547689999999,148.0,148.0,574.0,"Duration=5.483, Speed=3.04","Duration=5.667, Speed=2.94","Duration=6.3, Speed=2.65","Duration=5.667, Speed=2.94","Duration=5.733, Speed=2.91","Duration=5.85, Speed=2.85","Duration=5.733, Speed=2.91","Duration=0.883, Speed=3.59",,,,,,,,,,,
75,Nike+ 2.10.6  ,"Leipzig, Germany",51.337340000000005,12.386357,6.140000000000001,2013-05-15,Running 11.44 km in 1:04:40 hr (5:39 min/km),2.947520474119043,05:39,11.434999999999999,64.65886666666667,06:29:11,278.016427,275.6268570000002,239.0,162.0,923.0,"Duration=4.85, Speed=3.44","Duration=5.9, Speed=2.82","Duration=5.767, Speed=2.89","Duration=5.767, Speed=2.89","Duration=5.567, Speed=2.99","Duration=5.583, Speed=2.99","Duration=6.033, Speed=2.76","Duration=5.833, Speed=2.86","Duration=5.033, Speed=3.31","Duration=6.1, Speed=2.73","Duration=5.45, Speed=3.06","Duration=2.717, Speed=2.47",,,,,,,
76,Nike+ 2.10.6  ,indoor,51.337166,12.385844,4.140000000000001,2013-05-24,Running 10.12 km in 1:02:48 hr (6:13 min/km),2.68412244056387,06:16,10.0,62.80761666666667,17:01:22,229.09707400000005,273.8918040000002,188.0,149.0,798.0,"Duration=6.05, Speed=2.75","Duration=6.483, Speed=2.57","Duration=6.05, Speed=2.75","Duration=6.4, Speed=2.6","Duration=5.633, Speed=2.96","Duration=6.35, Speed=2.62","Duration=5.983, Speed=2.79","Duration=5.917, Speed=2.82","Duration=6.533, Speed=2.55","Duration=6.133, Speed=2.72","Duration=1.2, Speed=2.59",,,,,,,,
77,Nike+ 2.10.6  ,"Leipzig, Germany",51.33725400000001,12.386511999999998,4.990000000000001,2013-06-05,Running 5.34 km in 27:34 min (5:10 min/km),3.230135989063313,05:09,5.342267,27.564716666666666,07:19:59,160.63107599999992,168.59142599999996,142.0,154.0,440.0,"Duration=5.067, Speed=3.29","Duration=5.717, Speed=2.92","Duration=5.4, Speed=3.09","Duration=4.55, Speed=3.66","Duration=4.883, Speed=3.41","Duration=1.883, Speed=3.57",,,,,,,,,,,,,
78,Nike+ 2.10.6  ,"Leipzig, Germany",51.337215,12.386026999999999,5.47,2013-06-06,Running 9.42 km in 51:46 min (5:30 min/km),3.031291674205989,05:29,9.415004000000001,51.765633333333334,16:46:52,190.90293699999984,143.33364699999984,174.0,150.0,761.0,"Duration=7.1, Speed=2.35","Duration=7.433, Speed=2.24","Duration=5.967, Speed=2.79","Duration=3.233, Speed=5.15","Duration=0.633, Speed=26.32","Duration=4.383, Speed=3.8","Duration=7.117, Speed=2.34","Duration=4.183, Speed=3.98","Duration=6.8, Speed=2.45","Duration=4.8, Speed=2.54",,,,,,,,,
79,Nike+ 2.10.6  ,"Leipzig, Germany",51.338454999999996,12.382163999999998,4.48,2013-06-11,Running 9.77 km in 51:58 min (5:19 min/km),3.131823867989178,05:19,9.766314,51.97351666666667,06:57:39,162.36223199999984,198.3587119999998,121.0,160.0,805.0,"Duration=5.867, Speed=2.84","Duration=5.183, Speed=3.22","Duration=5.0, Speed=3.33","Duration=4.933, Speed=3.38","Duration=4.767, Speed=3.5","Duration=5.25, Speed=3.17","Duration=5.233, Speed=3.18","Duration=4.95, Speed=3.37","Duration=5.183, Speed=3.22","Duration=5.55, Speed=2.98",,,,,,,,,
80,Nike+ 2.10.6  ,"Lisboa, Portugal",38.72809600000001,-9.144846,4.58,2013-06-17,Running 8.62 km in 47:29 min (5:31 min/km),3.024227514531383,05:30,8.615001999999999,47.4777,10:18:50,241.7621125,246.34844249999998,217.0,101.0,685.0,"Duration=5.467, Speed=3.05","Duration=5.8, Speed=2.87","Duration=5.533, Speed=3.01","Duration=5.917, Speed=2.82","Duration=5.017, Speed=3.32","Duration=5.083, Speed=3.28","Duration=6.383, Speed=2.61","Duration=5.8, Speed=2.87","Duration=2.4, Speed=3.51",,,,,,,,,,
81,Nike+ 2.10.6  ,"Leipzig, Germany",51.33752400000001,12.386583,4.717181633130742,2013-07-02,Running 7.37 km in 36:07 min (4:54 min/km),3.398039241921411,04:54,7.365001999999999,36.123783333333336,07:11:22,225.2257719999999,268.28908199999984,176.0,214.0,604.0,"Duration=3.833, Speed=4.35","Duration=5.05, Speed=3.3","Duration=4.883, Speed=3.41","Duration=5.283, Speed=3.15","Duration=4.817, Speed=3.46","Duration=4.817, Speed=3.46","Duration=5.067, Speed=3.29","Duration=2.317, Speed=3.25",,,,,,,,,,,
82,Nike+ 2.10.6  ,"Leipzig, Germany",51.33702000000001,12.385441999999998,4.390908409299899,2013-07-08,Running 7.13 km in 40:14 min (5:39 min/km),2.951668054468098,05:38,7.125001999999998,40.2315,08:27:10,179.29138200000003,158.74714200000005,141.0,155.0,561.0,"Duration=6.133, Speed=2.72","Duration=6.5, Speed=2.56","Duration=2.95, Speed=5.65","Duration=6.5, Speed=2.56","Duration=6.65, Speed=2.51","Duration=5.6, Speed=2.98","Duration=5.817, Speed=2.41",,,,,,,,,,,,
83,Nike+ 2.10.6  ,indoor,51.32529000000001,12.373002,4.623983458855363,2014-01-29,Running 8.13 km in 45 min (5:32 min/km),3.00946917434652,05:32,8.125004,44.99688333333334,07:14:19,347.16226499999993,341.684195,319.0,132.0,619.0,"Duration=4.85, Speed=3.44","Duration=6.7, Speed=2.49","Duration=6.783, Speed=2.46","Duration=4.683, Speed=3.56","Duration=6.85, Speed=2.43","Duration=6.017, Speed=2.77","Duration=6.55, Speed=2.54","Duration=2.5, Speed=3.02",,,,,,,,,,,
84,Nike+ 2.10.6  ,"Leipzig, Germany",51.323870000000014,12.365772000000002,3.61140320985346,2014-03-12,Running 8.27 km in 48:27 min (5:51 min/km),2.846944427624626,05:51,8.274996999999999,48.44373333333333,06:54:43,207.67274300000003,206.1047630000001,151.0,141.0,626.0,"Duration=6.917, Speed=2.41","Duration=6.417, Speed=2.6","Duration=6.767, Speed=2.46","Duration=6.483, Speed=2.57","Duration=6.85, Speed=2.43","Duration=6.917, Speed=2.41","Duration=6.7, Speed=2.49","Duration=1.317, Speed=2.75",,,,,,,,,,,
85,Nike+ 2.10.6  ,indoor,51.32555,12.370887999999999,3.434635373988131,2014-04-11,Running 5.04 km in 30:08 min (5:59 min/km),2.785586209605542,06:01,5.0,30.125316666666667,05:00:02,135.4034130000001,118.21536300000011,95.0,126.0,400.0,"Duration=5.9, Speed=2.82","Duration=6.25, Speed=2.67","Duration=6.167, Speed=2.7","Duration=5.967, Speed=2.79","Duration=5.767, Speed=2.87",,,,,,,,,,,,,,
86,Nike+ 2.10.6  ,indoor,51.325455,12.372783,3.424901688328103,2014-04-15,Running 5.30 km in 31:56 min (6:01 min/km),2.769109468842424,06:01,5.3049990000000005,31.929633333333335,05:29:41,115.09012099999988,106.09563099999987,79.0,140.0,421.0,"Duration=6.8, Speed=2.45","Duration=7.25, Speed=2.3","Duration=6.4, Speed=2.6","Duration=6.417, Speed=2.6","Duration=4.6, Speed=3.62","Duration=0.383, Speed=3.44",,,,,,,,,,,,,
87,Nike+ 2.10.6  ,"RVK, Iceland",64.14654499999999,-21.934552999999998,3.782334582189066,2014-05-22,Running 11.30 km in 1:05:18 hr (5:47 min/km),2.885554640357283,05:56,11.0,65.29651666666668,08:57:23,283.55762053999985,282.54663454000024,223.0,46.0,822.0,"Duration=6.417, Speed=2.6","Duration=6.35, Speed=2.62","Duration=6.2, Speed=2.69","Duration=6.15, Speed=2.71","Duration=5.383, Speed=3.1","Duration=6.417, Speed=2.6","Duration=6.35, Speed=2.62","Duration=6.2, Speed=2.69","Duration=6.217, Speed=2.68","Duration=6.067, Speed=2.75","Duration=3.483, Speed=2.96",,,,,,,,
88,Nike+ 2.10.6  ,"Leipzig, Germany",51.318295,12.353299,1.990470047394041,2015-04-21,Running 5.27 km in 49:06 min (9:19 min/km),1.788841578740847,09:19,5.270006,49.10073333333333,18:11:15,20.735636999999898,12.37050699999989,13.0,121.0,328.0,"Duration=19.75, Speed=0.84","Duration=19.567, Speed=0.85","Duration=9.567, Speed=1.26",,,,,,,,,,,,,,,,
89,Nike+ 2.10.6  ,"Montréal, Canada",45.501842,-73.578186,3.597187965766389,2015-05-26,Running 7.32 km in 46 min (6:17 min/km),2.652524967024684,06:16,7.3200140000000005,45.994,07:33:03,191.7961179999999,183.311438,183.0,201.0,596.0,"Duration=6.717, Speed=2.48","Duration=7.933, Speed=2.1","Duration=7.733, Speed=2.16","Duration=9.95, Speed=1.68","Duration=8.933, Speed=1.87","Duration=4.617, Speed=1.59",,,,,,,,,,,,,
90,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,3.585443712790428,2015-09-15,Running 3.62 km in 19:51 min (5:29 min/km),3.04258226185557,05:28,3.623109999999875,19.84668333333333,14:09:51,0.0,0.0,0.0,0.0,292.0,,,,,,,,,,,,,,,,,,,
91,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,3.665012027924837,2015-09-18,Running 4.59 km in 27:25 min (5:59 min/km),2.789168941886132,05:58,4.586872,27.408833333333334,15:46:42,0.0,0.0,0.0,0.0,372.0,,,,,,,,,,,,,,,,,,,
92,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,3.687908187287686,2015-09-21,Running 4.60 km in 25:21 min (5:31 min/km),3.023277219488105,05:30,4.598449999999699,25.350250000000003,12:31:04,0.0,0.0,0.0,0.0,371.0,,,,,,,,,,,,,,,,,,,
93,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,2.835324034719806,2016-01-31,Running 3.34 km in 30:46 min (9:13 min/km),1.809557446573389,09:12,3.34051,30.767283333333335,15:44:17,0.0,0.0,0.0,0.0,212.0,,,,,,,,,,,,,,,,,,,
94,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,3.520645876400059,2016-02-06,Running 2.02 km in 11 min (5:27 min/km),3.059246401047043,05:26,2.01969000000005,11.0032,11:39:51,0.0,0.0,0.0,0.0,163.0,,,,,,,,,,,,,,,,,,,
95,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,4.0475718406786,2016-08-06,Running 1.92 km in 11:14 min (5:51 min/km),2.852371488743215,05:50,1.92324,11.237666666666666,14:31:36,0.0,0.0,0.0,0.0,155.0,,,,,,,,,,,,,,,,,,,
96,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,2.666295874166344,2016-09-10,Running 13.93 km in 1:38:55 hr (7:06 min/km),2.347794439764111,07:05,13.93416,98.0,14:44:57,0.0,0.0,0.0,0.0,1145.0,,,,,,,,,,,,,,,,,,,
97,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,2.597407792207792,2016-10-17,Running 6.78 km in 43:31 min (6:25 min/km),2.597408186380157,06:24,6.781684722371968,43.51571666666667,07:51:54,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
98,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,3.313483334504589,2016-10-19,Running 7.56 km in 49:26 min (6:32 min/km),2.548260894782294,06:32,7.55698999999984,49.425799999999995,07:42:21,23.784942626953118,23.850868225097653,0.0,0.0,707.0,,,,,,,,,,,,,,,,,,,
99,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,2.613155957500969,2016-10-21,Running 7.12 km in 45:25 min (6:23 min/km),2.613155697468505,06:29,7.0,45.41125,07:14:01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
100,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,2.983071484124047,2016-10-24,Running 5.23 km in 34:06 min (6:31 min/km),2.556767645569623,06:31,5.231749999999804,34.10393333333334,09:01:44,16.064254760742184,16.962417602539062,0.0,0.0,503.0,,,,,,,,,,,,,,,,,,,
101,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,2.952933260487325,2016-10-26,Running 5.05 km in 33:34 min (6:38 min/km),2.509417383188617,06:38,5.054869999999824,33.57266666666666,07:23:12,17.170135855674744,17.730961441993713,0.0,0.0,482.0,,,,,,,,,,,,,,,,,,,
102,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,3.250597704923862,2016-10-29,Running 11.03 km in 1:06:41 hr (6:03 min/km),2.756956235810204,06:02,11.029729999999761,66.67818333333334,11:41:39,41.0183334350586,35.33123588562012,0.0,0.0,1079.0,,,,,,,,,,,,,,,,,,,
103,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,3.22750232164013,2016-10-31,Running 7.38 km in 47:21 min (6:25 min/km),2.598730787726997,06:24,7.38170000000011,47.341699999999996,10:50:46,27.476984977722168,25.49300765991211,0.0,0.0,699.0,,,,,,,,,,,,,,,,,,,
104,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,3.20687448047785,2016-11-02,Running 5.49 km in 33:19 min (6:04 min/km),2.74618844850969,06:04,5.48834000000007,33.30883333333333,14:26:34,20.240562438964844,22.019393920898438,0.0,0.0,527.0,,,,,,,,,,,,,,,,,,,
105,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,2.8720483250961,2016-11-07,Running 5.23 km in 30:21 min (5:48 min/km),2.872048325096101,05:48,5.229999999999999,30.0,08:11:00,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
106,Nike+ 2.10.6  ,indoor,45.501842,-73.578186,3.276704293500327,2016-11-15,Running 5.90 km in 35:03 min (5:56 min/km),2.80530354569672,05:56,5.900740000000031,35.05705,08:32:38,18.850907325744636,17.03331470489502,0.0,0.0,570.0,,,,,,,,,,,,,,,,,,,
